Name,Brand,Movement,Display,Reserve,Frequency,URL
Casio caliber 3240,Casio,Quartz,Digital,N/A,N/A,https://watchbase.com/casio/caliber/3240
ETA caliber E61.511,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/e61-511
Breguet caliber 574DR,Breguet,Handwound,Analog,60,36000,https://watchbase.com/breguet/caliber/574dr
Arnold & Son caliber A1766,Arnold & Son,Handwound,Analog,42,28800,https://watchbase.com/arnold-son/caliber/a1766
ETA caliber C07.111,ETA,Automatic,Analog,80,21600,https://watchbase.com/eta/caliber/c07-111
Chopard caliber L.U.C 01.06-L,Chopard,Automatic,Analog,60,57600,https://watchbase.com/chopard/caliber/l-u-c-01-06-l
A. Lange & Söhne caliber L095.2,A. Lange & Söhne,N/A,N/A,N/A,N/A,https://watchbase.com/a-lange-sohne/caliber/l095-2
IWC caliber 32800,IWC,Automatic,Analog,120,28800,https://watchbase.com/iwc/caliber/32800
ETA caliber 955.422,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/955-422
Girard-Perregaux caliber GP03300-0105,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0105
Chopard caliber Chopard 01.02-M,Chopard,Automatic,Analog,60,28800,https://watchbase.com/chopard/caliber/chopard-01-02-m
Hublot caliber HUB1270,Hublot,Automatic,Analog,72,28800,https://watchbase.com/hublot/caliber/hub1270
A. Lange & Söhne caliber L122.1,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l122-1
ETA caliber 2681,ETA,Automatic,Analog,38,28800,https://watchbase.com/eta/caliber/2681
Breguet caliber 558QP2,Breguet,Handwound,Analog,50,28800,https://watchbase.com/breguet/caliber/558qp2
Christiaan van der Klaauw caliber CVDK7383,Christiaan van der Klaauw,Automatic,Analog,96,28800,https://watchbase.com/christiaan-van-der-klaauw/caliber/cvdk7383
Arnold & Son caliber A&S8000 NAC,Arnold & Son,Handwound,Analog,80,21600,https://watchbase.com/arnold-son/caliber/a-s8000-nac
Audemars Piguet caliber AP 7124,Audemars Piguet,Automatic,Analog,55,28800,https://watchbase.com/audemars-piguet/caliber/ap-7124
Breguet caliber 505SR,Breguet,Automatic,Analog,50,21600,https://watchbase.com/breguet/caliber/505sr
Bremont caliber BWC/02,Bremont,Automatic,Analog,50,28800,https://watchbase.com/bremont/caliber/bwc-02
Breitling caliber Caliber B70,Breitling,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-b70
Armin Strom caliber ARM09-S Pure,Armin Strom,Handwound,Analog,192,18000,https://watchbase.com/armin-strom/caliber/arm09-s-pure
Blancpain caliber 6918B,Blancpain,Automatic,Analog,120,28800,https://watchbase.com/blancpain/caliber/6918b
Audemars Piguet caliber AP 2945,Audemars Piguet,Handwound,Analog,48,21600,https://watchbase.com/audemars-piguet/caliber/ap-2945
Breitling caliber Caliber 56,Breitling,Quartz,Analog/ Digital,35040,N/A,https://watchbase.com/breitling/caliber/caliber-56
Breguet caliber 502.3 DR1,Breguet,Automatic,Analog,45,21600,https://watchbase.com/breguet/caliber/502-3-dr1
ETA caliber F07.411,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f07-411
IWC caliber 35110,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/35110
Alexandre Meerson caliber AM-4808-B,Alexandre Meerson,Automatic,Analog,50,28800,https://watchbase.com/alexandre-meerson/caliber/am-4808-b
Breitling caliber Caliber B25,Breitling,Automatic,Analog,48,28800,https://watchbase.com/breitling/caliber/caliber-b25
Chopard caliber L.U.C 96.17-S,Chopard,Automatic,Analog,65,28800,https://watchbase.com/chopard/caliber/l-u-c-96-17-s
A. Lange & Söhne caliber L941.1,A. Lange & Söhne,Handwound,Analog,45,21600,https://watchbase.com/a-lange-sohne/caliber/l941-1
IWC caliber 30120,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/30120
Audemars Piguet caliber AP 1000,Audemars Piguet,Automatic,Analog,64,21600,https://watchbase.com/audemars-piguet/caliber/ap-1000
Blancpain caliber 7663Q,Blancpain,Automatic,Analog,65,N/A,https://watchbase.com/blancpain/caliber/7663q
ETA caliber 255.441,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/255-441
Breitling caliber Caliber B21,Breitling,Automatic,Analog,70,28800,https://watchbase.com/breitling/caliber/caliber-b21
Hublot caliber HUB4300,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub4300
Grand Seiko caliber 9F83,Grand Seiko,Quartz,Analog,55,N/A,https://watchbase.com/grand-seiko/caliber/9f83
Frederique Constant caliber FC-942,Frederique Constant,Automatic,Analog,42,28800,https://watchbase.com/frederique-constant/caliber/fc-942
Breguet caliber 591DRL,Breguet,Automatic,Analog,38,28800,https://watchbase.com/breguet/caliber/591drl
ETA caliber G10.211,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/g10-211
Hublot caliber HUB1112,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1112
A. Lange & Söhne caliber L101.1,A. Lange & Söhne,Handwound,Analog,42,21600,https://watchbase.com/a-lange-sohne/caliber/l101-1
Arnold & Son caliber A&S1101,Arnold & Son,Handwound,Analog,42,21600,https://watchbase.com/arnold-son/caliber/a-s1101
Audemars Piguet caliber AP 4401,Audemars Piguet,Automatic,Analog,70,28800,https://watchbase.com/audemars-piguet/caliber/ap-4401
H. Moser & Cie caliber HMC 346,H. Moser & Cie,Automatic,Analog,168,18000,https://watchbase.com/h-moser-cie/caliber/hmc-346
Eterna caliber 3030,Eterna,Automatic,Analog,48,28800,https://watchbase.com/eterna/caliber/3030
ETA caliber E49.351,ETA,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/eta/caliber/e49-351
ETA caliber F06.161,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f06-161
ETA caliber E01.001,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/e01-001
ETA caliber 2896,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2896
FP Journe caliber 1304 CS,FP Journe,Handwound,Analog,56,21600,https://watchbase.com/fp-journe/caliber/1304-cs
Glashütte Original caliber 39-22,Glashütte Original,Automatic,Analog,40,28800,https://watchbase.com/glashutte-original/caliber/39-22
Blancpain caliber 1153,Blancpain,Automatic,Analog,100,N/A,https://watchbase.com/blancpain/caliber/1153
Audemars Piguet caliber AP 3120,Audemars Piguet,Automatic,Analog,60,21600,https://watchbase.com/audemars-piguet/caliber/ap-3120
Bremont caliber BE-83AR Retrograde,Bremont,Automatic,Analog,46,28800,https://watchbase.com/bremont/caliber/be-83ar-retrograde
H. Moser & Cie caliber HMC 200,H. Moser & Cie,Automatic,Analog,72,21600,https://watchbase.com/h-moser-cie/caliber/hmc-200
Chopard caliber Chopard 09.01-C,Chopard,Automatic,Analog,42,25200,https://watchbase.com/chopard/caliber/chopard-09-01-c
Breguet caliber 505SR1,Breguet,Automatic,Analog,50,21600,https://watchbase.com/breguet/caliber/505sr1
Blancpain caliber 3725G,Blancpain,Automatic,Analog,168,N/A,https://watchbase.com/blancpain/caliber/3725g
Blancpain caliber 56F9A,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/56f9a
Cartier caliber 9753 MC,Cartier,Handwound,Analog,43,21600,https://watchbase.com/cartier/caliber/9753-mc
Audemars Piguet caliber AP 2947,Audemars Piguet,Handwound,Analog,173,21600,https://watchbase.com/audemars-piguet/caliber/ap-2947
ETA caliber 2836-2,ETA,Automatic,Analog,38,28800,https://watchbase.com/eta/caliber/2836-2
Glashütte Original caliber 100-13,Glashütte Original,Automatic,Analog,55,28800,https://watchbase.com/glashutte-original/caliber/100-13
IWC caliber 35750,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/35750
Breitling caliber Caliber B09,Breitling,Handwound,Analog,70,28800,https://watchbase.com/breitling/caliber/caliber-b09
ETA caliber 251.294 PRD,ETA,Quartz,Analog,52560,N/A,https://watchbase.com/eta/caliber/251-294-prd
Blancpain caliber 1241H,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/1241h
ETA caliber G15.211,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/g15-211
Audemars Piguet caliber AP 2953,Audemars Piguet,Handwound,Analog,72,21600,https://watchbase.com/audemars-piguet/caliber/ap-2953
Deutsche Uhrenmanufaktur Glashütte caliber DUG 400 ND,Deutsche Uhrenmanufaktur Glashütte,Automatic,Analog,41,28800,https://watchbase.com/deutsche-uhrenmanufaktur-glashutte/caliber/dug-400-nd
Avoirdupois caliber AVDP.130.LB,Avoirdupois,Automatic,Analog,60,17280,https://watchbase.com/avoirdupois/caliber/avdp-130-lb
Casio caliber 5476,Casio,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/casio/caliber/5476
ETA caliber C07.811,ETA,Automatic,Analog,80,21600,https://watchbase.com/eta/caliber/c07-811
Audemars Piguet caliber AP 2937,Audemars Piguet,Handwound,N/A,42,21600,https://watchbase.com/audemars-piguet/caliber/ap-2937
Audemars Piguet caliber AP 2225,Audemars Piguet,Automatic,N/A,40,28800,https://watchbase.com/audemars-piguet/caliber/ap-2225
Blancpain caliber 6054 P,Blancpain,Automatic,Analog,723,N/A,https://watchbase.com/blancpain/caliber/6054-p
Audemars Piguet caliber AP 2141 / 2806,Audemars Piguet,Automatic,Analog,40,28800,https://watchbase.com/audemars-piguet/caliber/ap-2141-2806
Bremont caliber BE-54AE,Bremont,Automatic,Analog,42,28800,https://watchbase.com/bremont/caliber/be-54ae
Chronomatic Group caliber Chronomatic 12,Chronomatic Group,Automatic,Analog,42,21600,https://watchbase.com/chronomatic-group/caliber/chronomatic-12
Blancpain caliber 1335,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/1335
Glashütte Original caliber 49-18,Glashütte Original,Handwound,Analog,40,28800,https://watchbase.com/glashutte-original/caliber/49-18
H. Moser & Cie caliber HMC 901,H. Moser & Cie,Handwound,Analog,87,21600,https://watchbase.com/h-moser-cie/caliber/hmc-901
Blancpain caliber 242,Blancpain,Automatic,Analog,288,N/A,https://watchbase.com/blancpain/caliber/242
Breguet caliber 507DR,Breguet,Handwound,Analog,50,21600,https://watchbase.com/breguet/caliber/507dr
ETA caliber C07.671,ETA,Automatic,Analog,80,21600,https://watchbase.com/eta/caliber/c07-671
Hublot caliber HUB4700,Hublot,Automatic,Analog,50,36000,https://watchbase.com/hublot/caliber/hub4700
Arnold & Son caliber A&S1001,Arnold & Son,Handwound,Analog,90,21600,https://watchbase.com/arnold-son/caliber/a-s1001
Hublot caliber HUB1110,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1110
ETA caliber A05.231,ETA,Automatic,Analog,68,28800,https://watchbase.com/eta/caliber/a05-231
ETA caliber 251.272,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/251-272
Audemars Piguet caliber AP 2860,Audemars Piguet,Handwound,Analog,30,18000,https://watchbase.com/audemars-piguet/caliber/ap-2860
FP Journe caliber 1499.3 CAR,FP Journe,Handwound,Analog,40,21600,https://watchbase.com/fp-journe/caliber/1499-3-car
Ball Watch caliber RR1501,Ball Watch,Automatic,Analog,38,28800,https://watchbase.com/ball-watch/caliber/rr1501
ETA caliber 2893-3,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2893-3
Hamilton caliber H-13,Hamilton,Automatic,Analog,80,21600,https://watchbase.com/hamilton/caliber/h-13
ETA caliber 980.153,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/980-153
Grand Seiko caliber 9S86,Grand Seiko,Automatic,Analog,55,36000,https://watchbase.com/grand-seiko/caliber/9s86
ETA caliber 2897,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2897
Blancpain caliber 225L,Blancpain,Automatic,Analog,120,N/A,https://watchbase.com/blancpain/caliber/225l
IWC caliber 35111,IWC,Automatic,Analog,42,28800,https://watchbase.com/iwc/caliber/35111
Audemars Piguet caliber AP 2612,Audemars Piguet,Quartz,Analog,N/A,N/A,https://watchbase.com/audemars-piguet/caliber/ap-2612
Deutsche Uhrenmanufaktur Glashütte caliber DUG 400,Deutsche Uhrenmanufaktur Glashütte,Automatic,Analog,41,28800,https://watchbase.com/deutsche-uhrenmanufaktur-glashutte/caliber/dug-400
ETA caliber 803.112,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/803-112
Cartier caliber 9462 MC,Cartier,Handwound,Analog,50,21600,https://watchbase.com/cartier/caliber/9462-mc
A. Lange & Söhne caliber L155.1,A. Lange & Söhne,Automatic,Analog,50,28800,https://watchbase.com/a-lange-sohne/caliber/l155-1
Glashütte Original caliber 90-02,Glashütte Original,Automatic,Analog,42,28800,https://watchbase.com/glashutte-original/caliber/90-02
Hublot caliber MHUB2913,Hublot,Quartz,Analog,N/A,N/A,https://watchbase.com/hublot/caliber/mhub2913
Arnold & Son caliber A&S8305 Steel,Arnold & Son,Automatic,Analog,55,28800,https://watchbase.com/arnold-son/caliber/a-s8305-steel
Carl F. Bucherer caliber CFB A1011,Carl F. Bucherer,Automatic,Analog,55,N/A,https://watchbase.com/carl-f-bucherer/caliber/cfb-a1011
Berneron caliber Berneron 215,Berneron,Handwound,N/A,N/A,21600,https://watchbase.com/berneron/caliber/berneron-215
IWC caliber 2210,IWC,Quartz,Analog,26280,N/A,https://watchbase.com/iwc/caliber/2210
Audemars Piguet caliber AP 2885,Audemars Piguet,Automatic,Analog,45,19800,https://watchbase.com/audemars-piguet/caliber/ap-2885
Frederique Constant caliber FC-306,Frederique Constant,Automatic,Analog,38,28800,https://watchbase.com/frederique-constant/caliber/fc-306
Girard-Perregaux caliber GP03300-1058,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-1058
Carl F. Bucherer caliber CFB 1973,Carl F. Bucherer,Automatic,Analog,56,28800,https://watchbase.com/carl-f-bucherer/caliber/cfb-1973
H. Moser & Cie caliber HMC 348,H. Moser & Cie,Handwound,Analog,168,18000,https://watchbase.com/h-moser-cie/caliber/hmc-348
Girard-Perregaux caliber GP03300-0123,Girard-Perregaux,Automatic,Analog,42,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0123
ETA caliber 48.181,ETA,Handwound,Analog/ Digital,48,N/A,https://watchbase.com/eta/caliber/48-181
Grand Seiko caliber 9R15,Grand Seiko,Spring Drive,Analog,192,N/A,https://watchbase.com/grand-seiko/caliber/9r15
Breguet caliber 581DR,Breguet,Automatic,Analog,80,28800,https://watchbase.com/breguet/caliber/581dr
Grand Seiko caliber 9F61,Grand Seiko,Quartz,Analog,N/A,N/A,https://watchbase.com/grand-seiko/caliber/9f61
Hublot caliber HUB4100,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub4100
Breitling caliber Caliber B05,Breitling,Automatic,Analog,70,28800,https://watchbase.com/breitling/caliber/caliber-b05
Crafter Blue caliber 3531,Crafter Blue,Automatic,N/A,N/A,21600,https://watchbase.com/crafter-blue/caliber/3531
Girard-Perregaux caliber GP03300-0030,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0030
A. Lange & Söhne caliber L086.2,A. Lange & Söhne,Automatic,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l086-2
Audemars Piguet caliber AP 7121,Audemars Piguet,Automatic,Analog,55,28800,https://watchbase.com/audemars-piguet/caliber/ap-7121
Bell & Ross caliber BR-CAL.305,Bell & Ross,Automatic,Analog,42,28800,https://watchbase.com/bell-ross/caliber/br-cal-305
Glashütte Original caliber 58-01,Glashütte Original,Handwound,Analog,42,28800,https://watchbase.com/glashutte-original/caliber/58-01
Bremont caliber BWC/01-10,Bremont,Automatic,Analog,50,28800,https://watchbase.com/bremont/caliber/bwc-01-10
Audemars Piguet caliber AP 2924 SQ,Audemars Piguet,Handwound,Analog,70,21600,https://watchbase.com/audemars-piguet/caliber/ap-2924-sq
Breguet caliber 502.3SD,Breguet,Automatic,Analog,45,21600,https://watchbase.com/breguet/caliber/502-3sd
Glashütte Original caliber 36-13,Glashütte Original,Automatic,Analog,100,28800,https://watchbase.com/glashutte-original/caliber/36-13
Breitling caliber Caliber B50,Breitling,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-b50
Bell & Ross caliber BR-CAL.102,Bell & Ross,Quartz,Analog,26280,N/A,https://watchbase.com/bell-ross/caliber/br-cal-102
Chopard caliber L.U.C 96.29-L,Chopard,Automatic,Analog,65,28800,https://watchbase.com/chopard/caliber/l-u-c-96-29-l
Blancpain caliber 1333SQ,Blancpain,Handwound,Analog,192,N/A,https://watchbase.com/blancpain/caliber/1333sq
Grand Seiko caliber 9SA5,Grand Seiko,Automatic,Analog,80,36000,https://watchbase.com/grand-seiko/caliber/9sa5
Breitling caliber Caliber B19,Breitling,Automatic,Analog,96,28800,https://watchbase.com/breitling/caliber/caliber-b19
Hublot caliber HUB4428,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub4428
Arnold & Son caliber A&S8100,Arnold & Son,Handwound,Analog,80,21600,https://watchbase.com/arnold-son/caliber/a-s8100
Blancpain caliber 6938,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/6938
Chopard caliber L.U.C 05.01-L,Chopard,Handwound,Analog,170,28000,https://watchbase.com/chopard/caliber/l-u-c-05-01-l
Girard-Perregaux caliber GP03300-0141,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0141
Glashütte Original caliber 39-11,Glashütte Original,Automatic,Analog,40,28800,https://watchbase.com/glashutte-original/caliber/39-11
A. Lange & Söhne caliber L085.1,A. Lange & Söhne,Automatic,Analog,48,21600,https://watchbase.com/a-lange-sohne/caliber/l085-1
Glashütte Original caliber 49-13,Glashütte Original,Handwound,Analog,40,28800,https://watchbase.com/glashutte-original/caliber/49-13
A. Lange & Söhne caliber L034.1,A. Lange & Söhne,Handwound,Analog,744,21600,https://watchbase.com/a-lange-sohne/caliber/l034-1
Girard-Perregaux caliber GP01800-1143,Girard-Perregaux,Automatic,Analog,54,28800,https://watchbase.com/girard-perregaux/caliber/gp01800-1143
Damasko caliber A35-1,Damasko,Automatic,Analog,52,28800,https://watchbase.com/damasko/caliber/a35-1
Audemars Piguet caliber AP 2934,Audemars Piguet,Handwound,Analog,N/A,21600,https://watchbase.com/audemars-piguet/caliber/ap-2934
Audemars Piguet caliber AP 2948,Audemars Piguet,Handwound,Analog,80,21600,https://watchbase.com/audemars-piguet/caliber/ap-2948
Arnold & Son caliber A&S8000 Engraved,Arnold & Son,Handwound,Analog,80,21600,https://watchbase.com/arnold-son/caliber/a-s8000-engraved
Blancpain caliber 56F9U,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/56f9u
Breitling caliber Caliber B14,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-b14
H. Moser & Cie caliber HMC 810,H. Moser & Cie,Automatic,Analog,72,21600,https://watchbase.com/h-moser-cie/caliber/hmc-810
Apple caliber Apple Watch,Apple,Processor,Digital,18,N/A,https://watchbase.com/apple/caliber/apple-watch
Hublot caliber HUB1100,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1100
Blancpain caliber 4225G,Blancpain,Handwound,Analog,168,N/A,https://watchbase.com/blancpain/caliber/4225g
Frederique Constant caliber FC-285,Frederique Constant,Quartz,Analog,N/A,N/A,https://watchbase.com/frederique-constant/caliber/fc-285
Audemars Piguet caliber AP 2940,Audemars Piguet,Handwound,Analog,72,21600,https://watchbase.com/audemars-piguet/caliber/ap-2940
ETA caliber 251.264 PRD,ETA,Quartz,Analog,52560,N/A,https://watchbase.com/eta/caliber/251-264
Breguet caliber 588,Breguet,Handwound,Analog,50,18000,https://watchbase.com/breguet/caliber/588
Audemars Piguet caliber AP 2967,Audemars Piguet,Automatic,Analog,65,21600,https://watchbase.com/audemars-piguet/caliber/ap-2967
Girard-Perregaux caliber GP09400-0011,Girard-Perregaux,Automatic,Analog,60,21600,https://watchbase.com/girard-perregaux/caliber/gp09400-0011
Breguet caliber 583Q/1,Breguet,Automatic,Analog,48,28800,https://watchbase.com/breguet/caliber/583q-1
Chopard caliber L.U.C 63.01-L,Chopard,Handwound,Analog,60,21600,https://watchbase.com/chopard/caliber/l-u-c-63-01-l
Breitling caliber Caliber 25,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-25
Breguet caliber 558SQ1,Breguet,Handwound,Analog,50,18000,https://watchbase.com/breguet/caliber/558sq1
ETA caliber 2804-2,ETA,Handwound,Analog,42,28800,https://watchbase.com/eta/caliber/2804-2
Audemars Piguet caliber AP 7138,Audemars Piguet,Automatic,Analog,40,19800,https://watchbase.com/audemars-piguet/caliber/ap-7138
IWC caliber 35160,IWC,Automatic,Analog,50,28800,https://watchbase.com/iwc/caliber/35160
Breguet caliber 581,Breguet,Automatic,Analog,80,28800,https://watchbase.com/breguet/caliber/581
ETA caliber F06.411,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f06-411
Glashütte Original caliber 66-08,Glashütte Original,Handwound,Analog,41,28800,https://watchbase.com/glashutte-original/caliber/66-08
Hublot caliber HUB1155,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1155
Audemars Piguet caliber AP 2906,Audemars Piguet,Handwound,Analog,72,21600,https://watchbase.com/audemars-piguet/caliber/ap-2906
A. Lange & Söhne caliber L132.1,A. Lange & Söhne,Handwound,Analog,55,21600,https://watchbase.com/a-lange-sohne/caliber/l132-1
Anonimo caliber SW-300-2035M,Anonimo,Automatic,Analog,42,N/A,https://watchbase.com/anonimo/caliber/sw-300-2035m
Audemars Piguet caliber AP 2913,Audemars Piguet,Handwound,Analog,237,21600,https://watchbase.com/audemars-piguet/caliber/ap-2913
A. Lange & Söhne caliber L021.1,A. Lange & Söhne,Automatic,Analog,50,21600,https://watchbase.com/a-lange-sohne/caliber/l021-1
Audemars Piguet caliber AP 2714,Audemars Piguet,Quartz,Analog,N/A,N/A,https://watchbase.com/audemars-piguet/caliber/ap-2714
ETA caliber 2801-2,ETA,Handwound,Analog,42,28800,https://watchbase.com/eta/caliber/2801-2
Grand Seiko caliber 9S66,Grand Seiko,Automatic,Analog,72,36000,https://watchbase.com/grand-seiko/caliber/9s66
Breitling caliber Caliber 32,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-32
ETA caliber F06.111,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f06-111
Glashütte Original caliber 66-06,Glashütte Original,Handwound,Analog,41,28800,https://watchbase.com/glashutte-original/caliber/66-06
Girard-Perregaux caliber GP09300-0002,Girard-Perregaux,Handwound,Analog,50,21600,https://watchbase.com/girard-perregaux/caliber/gp09300-0002
Audemars Piguet caliber AP 2324 / 2825,Audemars Piguet,Automatic,N/A,N/A,N/A,https://watchbase.com/audemars-piguet/caliber/ap-2324-2825
Breitling caliber Caliber 29,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-29
H. Moser & Cie caliber HMC 327 NS,H. Moser & Cie,Handwound,Analog,72,18000,https://watchbase.com/h-moser-cie/caliber/hmc-327-ns
Girard-Perregaux caliber GP01800-0006,Girard-Perregaux,Automatic,Analog,54,28800,https://watchbase.com/girard-perregaux/caliber/gp01800-0006
Breitling caliber Caliber B71,Breitling,Quartz,Analog,26280,N/A,https://watchbase.com/breitling/caliber/caliber-b71
Grand Seiko caliber 9R86,Grand Seiko,Spring Drive,Analog,72,N/A,https://watchbase.com/grand-seiko/caliber/9r86
Girard-Perregaux caliber GP59,Girard-Perregaux,Automatic,Analog,47,28800,https://watchbase.com/girard-perregaux/caliber/gp59
Armin Strom caliber ATM13,Armin Strom,Automatic,Analog,110,18000,https://watchbase.com/armin-strom/caliber/atm13
Hublot caliber HUB1120,Hublot,Automatic,Analog,46,28800,https://watchbase.com/hublot/caliber/hub1120
Blancpain caliber 25A,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/25a
Bell & Ross caliber BR-CAL.302,Bell & Ross,Automatic,Analog,38,28800,https://watchbase.com/bell-ross/caliber/br-cal-302
ETA caliber 2893-2,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2893-2
Arnold & Son caliber A&S1001 NAC,Arnold & Son,Handwound,Analog,90,21600,https://watchbase.com/arnold-son/caliber/a-s1001-nac
ETA caliber 955.112,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/955-112
Fortis caliber Werk 17,Fortis,Automatic,Analog,60,28800,https://watchbase.com/fortis/caliber/werk-17
Audemars Piguet caliber AP 2875,Audemars Piguet,Automatic,Analog,54,21600,https://watchbase.com/audemars-piguet/caliber/ap-2875
Audemars Piguet caliber AP 2954,Audemars Piguet,Handwound,Analog,237,21600,https://watchbase.com/audemars-piguet/caliber/ap-2954
Audemars Piguet caliber AP 5800,Audemars Piguet,Automatic,Analog,50,21600,https://watchbase.com/audemars-piguet/caliber/ap-5800
ETA caliber 251.292,ETA,Quartz,Analog,52560,N/A,https://watchbase.com/eta/caliber/251-292
Casio caliber 5146,Casio,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/casio/caliber/5146
Blancpain caliber 1315 DD,Blancpain,Automatic,Analog,120,28800,https://watchbase.com/blancpain/caliber/1315-dd
Breitling caliber 47B,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/47b
Graham caliber G1747,Graham,Automatic,Analog,42,28800,https://watchbase.com/graham/caliber/g1747
Hublot caliber HUB1153,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1153
IWC caliber 35180,IWC,Automatic,Analog,50,28800,https://watchbase.com/iwc/caliber/35180
A. Lange & Söhne caliber L045.1,A. Lange & Söhne,Handwound,Analog,45,21600,https://watchbase.com/a-lange-sohne/caliber/l045-1
Grand Seiko caliber 9R01,Grand Seiko,Spring Drive,Analog,192,N/A,https://watchbase.com/grand-seiko/caliber/9r01
Hamilton caliber H-10 ND,Hamilton,Automatic,Analog,80,21600,https://watchbase.com/hamilton/caliber/h-10-nd
Bremont caliber BE-83AR Flyback,Bremont,Automatic,Analog,42,28800,https://watchbase.com/bremont/caliber/be-83ar-flyback
Chopard caliber L.U.C 97.01-L,Chopard,Automatic,Analog,65,28800,https://watchbase.com/chopard/caliber/l-u-c-97-01-l
Girard-Perregaux caliber GP03200-0012,Girard-Perregaux,Automatic,Analog,42,28800,https://watchbase.com/girard-perregaux/caliber/gp03200-0012
Arnold & Son caliber A&S5003 Ruthenium,Arnold & Son,Handwound,Analog,100,18000,https://watchbase.com/arnold-son/caliber/a-s5003-ruthenium
Chopard caliber L.U.C 03.03-L,Chopard,Automatic,Analog,60,28000,https://watchbase.com/chopard/caliber/l-u-c-03-03-l
ETA caliber F05.111,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-111
A. Lange & Söhne caliber L121.1,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l121-1
A. Lange & Söhne caliber L941.3,A. Lange & Söhne,Handwound,Analog,45,21600,https://watchbase.com/a-lange-sohne/caliber/l941-3
Ball Watch caliber RR1105C,Ball Watch,Automatic,Analog,42,28800,https://watchbase.com/ball-watch/caliber/rr1105c
