Name,Brand,Movement,Display,Reserve,Frequency,URL
Breitling caliber Caliber 72,Breitling,Quartz,Analog,26280,N/A,https://watchbase.com/breitling/caliber/caliber-72
A. Lange & Söhne caliber L101.2,A. Lange & Söhne,Handwound,Analog,58,21600,https://watchbase.com/a-lange-sohne/caliber/l101-2
ETA caliber C01.211,ETA,Automatic,Analog,45,21600,https://watchbase.com/eta/caliber/c01-211
Glashütte Original caliber 89-01,Glashütte Original,Handwound,Analog,72,21600,https://watchbase.com/glashutte-original/caliber/89-01
A. Lange & Söhne caliber L141.1,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l141-1
Grand Seiko caliber 9S68,Grand Seiko,Automatic,Analog,72,28800,https://watchbase.com/grand-seiko/caliber/9s68
ETA caliber 2892-2054,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2892-2054
ETA caliber F06.421,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f06-421
ETA caliber F06.115,ETA,Quartz,Analog,N/A,N/A,https://watchbase.com/eta/caliber/f06-115
Audemars Piguet caliber AP 5900,Audemars Piguet,Automatic,Analog,60,28800,https://watchbase.com/audemars-piguet/caliber/ap-5900
Blancpain caliber 13R0,Blancpain,Handwound,Analog,192,N/A,https://watchbase.com/blancpain/caliber/13r0
Baume & Mercier caliber BM12-1975A,Baume & Mercier,Automatic,Analog,120,28800,https://watchbase.com/baume-mercier/caliber/bm12-1975a
Breguet caliber 582,Breguet,Automatic,Analog,48,28800,https://watchbase.com/breguet/caliber/582
Frederique Constant caliber FC-200,Frederique Constant,Quartz,Analog,N/A,N/A,https://watchbase.com/frederique-constant/caliber/fc-200
De Bethune caliber DB2509,De Bethune,Handwound,Analog,96,36000,https://watchbase.com/de-bethune/caliber/db2509
Blancpain caliber 69F9,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/69f9
IWC caliber 32110,IWC,Automatic,Analog,72,28800,https://watchbase.com/iwc/caliber/32110
ETA caliber 2892-2,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2892-2
ETA caliber 2660,ETA,Handwound,Analog,42,28800,https://watchbase.com/eta/caliber/2660
ETA caliber G15.212 AB,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/g15-212-ab
ETA caliber 2826-2,ETA,Automatic,Analog,38,28800,https://watchbase.com/eta/caliber/2826-2
Blancpain caliber 332,Blancpain,Handwound,Analog,40,N/A,https://watchbase.com/blancpain/caliber/332
Hublot caliber HUB4302,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub4302
Girard-Perregaux caliber GP03800-0001,Girard-Perregaux,Handwound,Analog,56,28800,https://watchbase.com/girard-perregaux/caliber/gp03800-0001
Cartier caliber 8971,Cartier,Handwound,Analog,38,21600,https://watchbase.com/cartier/caliber/8971
Breitling caliber Caliber 77,Breitling,Quartz,Analog,26280,N/A,https://watchbase.com/breitling/caliber/caliber-77
A. Lange & Söhne caliber L961.3,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l961-3
A. Lange & Söhne caliber L094.1,A. Lange & Söhne,Handwound,Analog,42,21600,https://watchbase.com/a-lange-sohne/caliber/l094-1
Blancpain caliber 13R5,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/13r5
Breguet caliber 517/1,Breguet,Automatic,Analog,96,28800,https://watchbase.com/breguet/caliber/517-1
Bulgari caliber BVL 328,Bulgari,Automatic,Analog,50,36000,https://watchbase.com/bulgari/caliber/bvl-328
Breguet caliber 502.3 QSE1,Breguet,Automatic,Analog,45,21600,https://watchbase.com/breguet/caliber/502-3-qse1
Girard-Perregaux caliber GP09510-0001,Girard-Perregaux,Automatic,Analog,49,21600,https://watchbase.com/girard-perregaux/caliber/gp09510-0001
H. Moser & Cie caliber HMC 803,H. Moser & Cie,Automatic,Analog,72,21600,https://watchbase.com/h-moser-cie/caliber/hmc-803
A. Lange & Söhne caliber L911.3,A. Lange & Söhne,Handwound,Analog,42,21600,https://watchbase.com/a-lange-sohne/caliber/l911-3
Breitling caliber Caliber 17 ND,Breitling,Automatic,Analog,38,28800,https://watchbase.com/breitling/caliber/caliber-17-nd
Breguet caliber 558.1,Breguet,Handwound,Analog,50,18000,https://watchbase.com/breguet/caliber/558-1
Chopard caliber L.U.C 96.20-L,Chopard,Automatic,Analog,65,28800,https://watchbase.com/chopard/caliber/l-u-c-96-20-l
ETA caliber E48.351,ETA,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/eta/caliber/e48-351
Amida caliber P092-AMIDA,Amida,Automatic,Analog,44,28800,https://watchbase.com/amida/caliber/p092-amida
Audemars Piguet caliber AP 3123 / 3909,Audemars Piguet,Automatic,Analog,60,28800,https://watchbase.com/audemars-piguet/caliber/ap-3123-3909
Hublot caliber HUB1110 ND,Hublot,Automatic,Analog,42,28800,https://watchbase.com/hublot/caliber/hub1110-nd
Grönefeld caliber G-03,Grönefeld,Handwound,Analog,72,21600,https://watchbase.com/gronefeld/caliber/g-03
ETA caliber 7001,ETA,Handwound,Analog,46,21600,https://watchbase.com/eta/caliber/7001
Hamilton caliber H-12,Hamilton,Automatic,Analog,42,28800,https://watchbase.com/hamilton/caliber/h-12
Girard-Perregaux caliber GP03300-0060,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0060
Bell & Ross caliber BR-CAL.307,Bell & Ross,Automatic,Analog,42,28800,https://watchbase.com/bell-ross/caliber/br-cal-307
Girard-Perregaux caliber GP01800-0033,Girard-Perregaux,Automatic,Analog,54,28800,https://watchbase.com/girard-perregaux/caliber/gp01800-0033
Audemars Piguet caliber AP 2938,Audemars Piguet,Handwound,Analog,72,21600,https://watchbase.com/audemars-piguet/caliber/ap-2938
A. Lange & Söhne caliber L043.4,A. Lange & Söhne,Handwound,Digital,36,18000,https://watchbase.com/a-lange-sohne/caliber/l043-4
De Bethune caliber DB2507,De Bethune,Handwound,Analog,120,28800,https://watchbase.com/de-bethune/caliber/db2507
ETA caliber 2893-1,ETA,Automatic,Analog,42,28800,https://watchbase.com/eta/caliber/2893-1
Angelus caliber SF 240,Angelus,Handwound,Analog,192,18000,https://watchbase.com/angelus/caliber/sf-240
Breitling caliber Caliber B73,Breitling,Quartz,Analog,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-b73
ETA caliber F05.841,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-841
Blancpain caliber 953,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/953
De Bethune caliber DB2324,De Bethune,Automatic,Analog,120,28800,https://watchbase.com/de-bethune/caliber/db2324
Glashütte Original caliber 37-02,Glashütte Original,Automatic,Analog,70,28800,https://watchbase.com/glashutte-original/caliber/37-02
Breguet caliber 0900,Breguet,N/A,Analog,55,28800,https://watchbase.com/breguet/caliber/0900
Girard-Perregaux caliber GP03300-0110,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0110
Audemars Piguet caliber AP 4101,Audemars Piguet,Automatic,Analog,60,28800,https://watchbase.com/audemars-piguet/caliber/ap-4101
Cartier caliber 1847 MC,Cartier,Automatic,Analog,42,28800,https://watchbase.com/cartier/caliber/1847-mc
Chopard caliber L.U.C 97.03-L,Chopard,Automatic,Analog,65,28800,https://watchbase.com/chopard/caliber/l-u-c-97-03-l
Hamilton caliber H-21 [Day - Date],Hamilton,Automatic,Analog,60,28800,https://watchbase.com/hamilton/caliber/h-21
A. Lange & Söhne caliber L095.4,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l095-4
Breguet caliber 558SQ2,Breguet,Handwound,Analog,50,18000,https://watchbase.com/breguet/caliber/558sq2
Hublot caliber HUB9005,Hublot,Automatic,Analog,1200,21600,https://watchbase.com/hublot/caliber/hub9005
Arnold & Son caliber A&S8000 NAC Engraved,Arnold & Son,Handwound,Analog,80,21600,https://watchbase.com/arnold-son/caliber/a-s8000-nac-engraved
ETA caliber 2861,ETA,N/A,N/A,N/A,N/A,https://watchbase.com/eta/caliber/2861
H. Moser & Cie caliber HMC 903,H. Moser & Cie,Handwound,Analog,90,21600,https://watchbase.com/h-moser-cie/caliber/hmc-903
Breitling caliber Caliber 82,Breitling,Quartz,Analog,N/A,N/A,https://watchbase.com/breitling/caliber/caliber-82
Girard-Perregaux caliber GP09560-0001,Girard-Perregaux,Handwound,Analog,60,21600,https://watchbase.com/girard-perregaux/caliber/gp09560-0001
A. Lange & Söhne caliber L903.0,A. Lange & Söhne,Handwound,Analog,36,21600,https://watchbase.com/a-lange-sohne/caliber/l903-0
Chronomatic Group caliber Chronomatic 15,Chronomatic Group,Automatic,Analog,42,21600,https://watchbase.com/chronomatic-group/caliber/chronomatic-15
Breitling caliber Caliber 10 ND,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-10-nd
IWC caliber 18680,IWC,Handwound,Analog,44,28800,https://watchbase.com/iwc/caliber/18680
ETA caliber F06.615,ETA,Quartz,Analog,N/A,N/A,https://watchbase.com/eta/caliber/f06-615
Blancpain caliber 35,Blancpain,Automatic,Analog,40,N/A,https://watchbase.com/blancpain/caliber/35
Hamilton caliber H-50 ND,Hamilton,Handwound,Analog,80,21600,https://watchbase.com/hamilton/caliber/h-50-nd
Hamilton caliber H-14,Hamilton,Automatic,Analog,80,21600,https://watchbase.com/hamilton/caliber/h-14
H. Moser & Cie caliber HMC 324 NS,H. Moser & Cie,Handwound,Analog,96,18000,https://watchbase.com/h-moser-cie/caliber/hmc-324-ns
Blancpain caliber 5254DF,Blancpain,Handwound,Analog,72,N/A,https://watchbase.com/blancpain/caliber/5254df
ETA caliber G10.711,ETA,Quartz,Analog,27400,N/A,https://watchbase.com/eta/caliber/g10-711
ETA caliber 902.101,ETA,Quartz,Analog,N/A,N/A,https://watchbase.com/eta/caliber/902-101
Breitling caliber Caliber 21,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-21
Breva caliber Genie02,Breva,Automatic,Analog,65,28800,https://watchbase.com/breva/caliber/genie02
Audemars Piguet caliber AP 3092 / 3900,Audemars Piguet,Handwound,Analog,48,21600,https://watchbase.com/audemars-piguet/caliber/ap-3092-3900
Breguet caliber 554.3,Breguet,Handwound,Analog,50,21600,https://watchbase.com/breguet/caliber/554-3
ETA caliber E49.301,ETA,Quartz,Analog/ Digital,N/A,N/A,https://watchbase.com/eta/caliber/e49-301
Girard-Perregaux caliber GP03300-0135,Girard-Perregaux,Automatic,Analog,46,28800,https://watchbase.com/girard-perregaux/caliber/gp03300-0135
Audemars Piguet caliber AP 2062,Audemars Piguet,Automatic,N/A,N/A,N/A,https://watchbase.com/audemars-piguet/caliber/ap-2062
Blancpain caliber 5025,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/5025
Bulgari caliber BVL 193,Bulgari,Automatic,Analog,50,28800,https://watchbase.com/bulgari/caliber/bvl-193
Bulgari caliber BVL 128 SK,Bulgari,Handwound,Analog,65,28800,https://watchbase.com/bulgari/caliber/bvl-128-sk
ETA caliber F05.411,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-411
ETA caliber F05.441,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/f05-441
Blancpain caliber 228,Blancpain,Automatic,Analog,120,N/A,https://watchbase.com/blancpain/caliber/228
A. Lange & Söhne caliber L961.1,A. Lange & Söhne,Handwound,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l961-1
Hublot caliber HUB2912,Hublot,Quartz,Analog,N/A,N/A,https://watchbase.com/hublot/caliber/hub2912
Audemars Piguet caliber AP 2326 / 2839,Audemars Piguet,Automatic,Analog,38,28800,https://watchbase.com/audemars-piguet/caliber/ap-2326-2839
Girard-Perregaux caliber GP08600-0002,Girard-Perregaux,Automatic,Analog,48,21600,https://watchbase.com/girard-perregaux/caliber/gp08600-0002
Frédéric Piguet caliber 1185,Frédéric Piguet,Automatic,Analog,42,21600,https://watchbase.com/frederic-piguet/caliber/1185
Hamilton caliber H-51,Hamilton,Handwound,Analog,60,28800,https://watchbase.com/hamilton/caliber/h-51
ETA caliber G15.261,ETA,Quartz,Analog,26280,N/A,https://watchbase.com/eta/caliber/g15-261
Blancpain caliber 13R3A,Blancpain,Automatic,Analog,192,N/A,https://watchbase.com/blancpain/caliber/13r3a
A. Lange & Söhne caliber L086.8,A. Lange & Söhne,Automatic,Analog,72,21600,https://watchbase.com/a-lange-sohne/caliber/l086-8
Breitling caliber Caliber 23,Breitling,Automatic,Analog,42,28800,https://watchbase.com/breitling/caliber/caliber-23
Breguet caliber 591C,Breguet,Automatic,Analog,38,28800,https://watchbase.com/breguet/caliber/591c
A. Lange & Söhne caliber L1924,A. Lange & Söhne,Handwound,Analog,60,21600,https://watchbase.com/a-lange-sohne/caliber/copy-of-l121-1
Glashütte Original caliber 96-01,Glashütte Original,Automatic,Analog,42,28800,https://watchbase.com/glashutte-original/caliber/96-01
